RK,TIERS,PLAYER NAME,TEAM,POS,AVG.,STD.DEV
1,1,Jonathan Taylor,IND,RB1,1.8,1.6
2,1,Christian McCaffrey,CAR,RB2,2.1,1.4
3,1,Austin Ekeler,LAC,RB3,3.7,2.0
4,1,Dalvin Cook,MIN,RB4,6.1,3.5
5,2,Najee Harris,PIT,RB5,7.7,5.4
6,2,Cooper Kupp,LAR,WR1,7.7,2.6
7,2,Justin Jefferson,MIN,WR2,8.1,2.3
8,2,Derrick Henry,TEN,RB6,8.2,5.1
9,2,Travis Kelce,KC,TE1,10.4,3.3
10,2,Joe Mixon,CIN,RB7,10.7,5.3
11,2,D'Andre Swift,DET,RB8,10.8,5.1
12,2,Ja'Marr Chase,CIN,WR3,11.4,2.6
13,3,Stefon Diggs,BUF,WR4,13.2,2.2
14,3,Davante Adams,LV,WR5,13.9,2.2
15,3,Aaron Jones,GB,RB9,16.1,5.9
16,3,CeeDee Lamb,DAL,WR6,16.9,2.8
17,3,Saquon Barkley,NYG,RB10,17.6,7.2
18,3,Leonard Fournette,TB,RB11,18.8,6.4
19,3,Mark Andrews,BAL,TE2,19.8,6.3
20,3,Alvin Kamara,NO,RB12,20.6,9.0
21,3,Mike Evans,TB,WR7,23.3,5.2
22,4,Tyreek Hill,MIA,WR8,24.1,5.8
23,4,Keenan Allen,LAC,WR9,24.8,4.8
24,4,Javonte Williams,DEN,RB13,25.4,7.4
25,4,Deebo Samuel,SF,WR10,25.6,6.7
26,4,Nick Chubb,CLE,RB14,27.9,6.7
27,4,Tee Higgins,CIN,WR11,29.3,6.2
28,4,Michael Pittman Jr.,IND,WR12,29.6,8.7
29,4,A.J. Brown,PHI,WR13,30.7,6.6
30,4,DJ Moore,CAR,WR14,32.2,7.6
31,4,James Conner,ARI,RB15,32.8,9.8
32,4,Ezekiel Elliott,DAL,RB16,34.5,8.6
33,4,Diontae Johnson,PIT,WR15,34.8,9.1
34,4,Josh Allen,BUF,QB1,36.4,1.1
35,4,Kyle Pitts,ATL,TE3,37.0,13.5
36,5,David Montgomery,CHI,RB17,39.4,9.0
37,5,Jaylen Waddle,MIA,WR16,39.7,9.5
38,5,Travis Etienne Jr.,JAC,RB18,40.4,12.7
39,5,Cam Akers,LAR,RB19,40.6,9.2
40,5,Terry McLaurin,WAS,WR17,41.9,8.4
41,5,Breece Hall,NYJ,RB20,42.0,19.9
42,5,Brandin Cooks,HOU,WR18,45.8,9.5
43,5,Justin Herbert,LAC,QB2,46.0,9.2
44,5,Mike Williams,LAC,WR19,46.8,12.5
45,5,Courtland Sutton,DEN,WR20,48.4,14.0
46,5,Antonio Gibson,WAS,RB21,49.8,11.2
47,5,DK Metcalf,SEA,WR21,50.7,10.9
48,5,Patrick Mahomes II,KC,QB3,50.8,11.3
49,5,George Kittle,SF,TE4,51.1,12.0
50,5,Lamar Jackson,BAL,QB4,51.9,10.9
51,5,Josh Jacobs,LV,RB22,53.2,11.1
52,5,Darren Waller,LV,TE5,53.2,11.6
53,6,Allen Robinson II,LAR,WR22,53.7,13.4
54,6,J.K. Dobbins,BAL,RB23,55.0,11.8
55,6,Elijah Mitchell,SF,RB24,55.2,10.2
56,6,Marquise Brown,ARI,WR23,55.5,15.0
57,6,AJ Dillon,GB,RB25,59.1,10.4
58,6,Amari Cooper,CLE,WR24,59.8,13.8
59,6,Jerry Jeudy,DEN,WR25,60.5,10.4
60,6,Darnell Mooney,CHI,WR26,61.7,11.9
61,6,Rashod Bateman,BAL,WR27,63.2,15.3
62,6,Kyler Murray,ARI,QB5,65.3,11.5
63,6,Dalton Schultz,DAL,TE6,65.6,17.6
64,6,Chris Godwin,TB,WR28,66.1,21.2
65,6,Michael Thomas,NO,WR29,67.4,21.5
66,6,Amon-Ra St. Brown,DET,WR30,68.3,15.8
67,6,Jalen Hurts,PHI,QB6,68.5,12.9
68,6,Miles Sanders,PHI,RB26,68.8,10.6
69,6,JuJu Smith-Schuster,KC,WR31,68.8,17.9
70,6,Chase Edmonds,MIA,RB27,70.4,12.1
