Player,Pos,Team,Games,Snaps,Snaps/Gm,Snap %,Rush %,Tgt %,Touch %,Util %,Fantasy Pts,Pts/100 Snaps
Damien Harris,RB,NE,15,407,27,42,50,5,54,55,192.1,47.2
Rashaad Penny,RB,SEA,10,253,25,43,47,3,49,50,115.7,45.7
Jonathan Taylor,RB,IND,17,767,45,69,43,7,49,50,333.1,43.4
Derrick Henry,RB,TEN,8,411,51,71,53,5,58,58,175.3,42.7
Nick Chubb,RB,CLE,14,482,34,53,47,5,51,52,195.3,40.5
Jordan Howard,RB,PHI,7,153,22,33,56,3,58,59,60.5,39.5
Cordarrelle Patterson,RB,ATL,16,473,30,47,32,15,44,47,182.6,38.6
Rhamondre Stevenson,RB,NE,12,265,22,34,50,7,55,57,100.9,38.1
Josh Johnson,QB,BAL,4,128,32,45,7,0,73,73,48.4,37.8
Kareem Hunt,RB,CLE,8,234,29,44,33,12,43,45,88.0,37.6
Trey Lance,QB,SF,6,178,30,45,21,0,61,61,67.0,37.6
Austin Ekeler,RB,LAC,16,731,46,64,28,13,38,41,273.8,37.5
Duke Johnson Jr.,RB,MIA,5,149,30,44,48,3,50,51,55.1,37.0
D'Onta Foreman,RB,TEN,9,230,26,38,58,5,62,63,84.9,36.9
James Conner,RB,ARI,15,598,40,58,34,7,40,40,220.7,36.9
Cam Newton,QB,CAR,8,252,32,48,19,0,69,69,91.3,36.2
Joe Flacco,QB,NYJ,2,66,33,48,3,0,67,67,23.8,36.1
Josh Allen,QB,BUF,17,1161,68,97,11,0,66,66,417.7,36.0
Joe Mixon,RB,CIN,16,697,44,67,42,7,48,49,245.9,35.3
Aaron Rodgers,QB,GB,16,983,61,93,3,0,57,57,336.3,34.2
Tom Brady,QB,TB,17,1139,67,96,2,0,66,66,386.7,34.0
Chris Carson,RB,SEA,4,124,31,57,44,5,48,48,42.1,34.0
Jalen Hurts,QB,PHI,15,954,64,98,15,0,60,60,321.2,33.7
JaMycal Hasty,RB,SF,2,41,21,33,15,15,27,29,13.7,33.4
Christian McCaffrey,RB,CAR,7,272,39,60,36,15,50,51,90.5,33.3
Justin Herbert,QB,LAC,17,1191,70,100,5,0,62,62,395.6,33.2
Elijah Mitchell,RB,SF,11,441,40,64,47,5,51,51,146.0,33.1
Kyler Murray,QB,ARI,14,940,67,97,9,0,61,61,310.5,33.0
Tony Pollard,RB,DAL,15,374,25,34,35,12,45,47,123.6,33.0
Matthew Stafford,QB,LAR,17,1065,63,98,3,0,59,59,346.8,32.6
Joe Burrow,QB,CIN,16,1007,63,96,4,0,56,56,328.1,32.6
Melvin Gordon III,RB,DEN,16,514,32,51,39,7,45,47,167.2,32.5
Jameis Winston,QB,NO,7,371,53,84,9,0,52,52,120.3,32.4
Patrick Mahomes II,QB,KC,17,1164,68,97,6,0,62,62,374.2,32.1
Cyril Grayson Jr.,WR,TB,3,108,36,53,1,11,10,12,34.6,32.0
AJ Dillon,RB,GB,17,476,28,43,39,8,46,47,151.6,31.8
Russell Wilson,QB,SEA,14,788,56,97,5,0,56,56,248.7,31.6
Deebo Samuel,WR,SF,16,829,52,80,7,15,17,22,262.0,31.6
Lamar Jackson,QB,BAL,12,810,68,91,17,0,64,64,253.0,31.2
Antonio Gibson,RB,WAS,16,604,38,57,43,9,50,51,187.1,31.0
Aaron Jones,RB,GB,15,578,39,59,30,11,39,41,177.0,30.6
James White,RB,NE,3,63,21,31,16,22,35,38,19.2,30.5
Leonard Fournette,RB,TB,14,623,45,63,29,13,40,43,186.6,30.0
Alvin Kamara,RB,NO,13,627,48,75,38,11,46,49,187.7,29.9
Dak Prescott,QB,DAL,16,1113,70,96,4,0,58,58,330.4,29.7
Jamaal Williams,RB,DET,13,317,24,38,48,9,56,57,93.8,29.6
Antonio Brown,WR,TB,7,268,38,54,0,23,16,24,79.1,29.5
Javonte Williams,RB,DEN,17,551,32,51,37,10,45,46,161.9,29.4
Cooper Kupp,WR,LAR,17,1024,60,94,0,19,15,19,294.5,28.8
Taysom Hill,QB,NO,12,431,36,56,16,1,48,49,122.8,28.5
Clyde Edwards-Helaire,RB,KC,10,342,34,50,35,7,40,42,97.5,28.5
Kirk Cousins,QB,MIN,16,1087,68,100,3,0,54,54,307.3,28.3
Dalvin Cook,RB,MIN,13,608,47,71,41,8,47,49,172.3,28.3
Josh Jacobs,RB,LV,15,625,42,63,35,10,43,45,172.0,27.5
Geno Smith,QB,SEA,4,203,51,84,4,0,51,51,55.3,27.2
Dontrell Hilliard,RB,TEN,8,198,25,35,28,13,38,41,53.7,27.1
James Robinson,RB,JAC,14,530,38,58,31,9,37,40,142.9,27.0
Kristian Wilkerson,WR,NE,1,60,60,81,0,13,7,13,16.2,27.0
Tyrod Taylor,QB,HOU,6,323,54,85,6,0,52,52,86.7,26.8
